Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_009662915.1	ASM966291v1	Erwinia phage Midgardsormr38	50485	93	93	
GCF_019095255.1	ASM1909525v1	Arthrobacter phage Persistence	50433	89	89	
GCF_013415945.2	ASM1341594v1	Vibrio phage Vc1	49833	67	67	
GCF_006384475.1	ASM638447v1	Gordonia phage Polly	49780	76	76	
GCF_021356225.1	ASM2135622v1	Streptomyces phage Pablito	49492	76	76	
GCF_003691755.1	ASM369175v1	Arthrobacter phage Auxilium	49447	93	93	
GCF_009186895.1	ASM918689v1	Gordonia phage CherryonLim	48948	72	72	
GCF_027090545.1	ASM2709054v1	Methanophagales virus PBV082	48863	73	73	
GCF_014824465.1	ASM1482446v1	Gordonia phage MichaelScott	48397	80	80	
GCF_006400995.1	ASM640099v1	White sturgeon adenovirus 1	48395	48	48	
GCF_007647785.1	ASM764778v1	Gordonia phage Mayweather	48382	74	74	
GCF_000913315.2	ViralProj215120	Mycobacterium phage Muddy	48229	71	71	
GCF_009187045.1	ASM918704v1	Gordonia phage DobbysSock	48198	73	73	
GCF_009688445.1	ASM968844v1	Gordonia phage Lauer	48123	66	66	
GCF_020475495.1	ASM2047549v1	Gordonia phage Vine	48092	74	74	
GCF_020684925.1	ASM2068492v1	Gordonia phage Pons	47982	74	74	
GCF_002958545.1	ASM295854v1	Gordonia phage Beenie	47953	73	73	
GCF_021355595.1	ASM2135559v1	Enterobacter phage vB_EclS_CobraSix	47816	82	81	
GCF_006965225.1	ASM696522v1	Gordonia phage Sekhmet	47735	79	79	
GCF_002619845.2	ASM261984v2	Geobacillus phage TP-84	47718	81	81	
GCF_006530235.1	ASM653023v1	Gordonia phage Clark	47716	78	78	
GCF_008945095.1	ASM894509v1	Gordonia phage Powerball	47680	76	76	
GCF_007311135.1	ASM731113v1	Gordonia phage SheckWes	47618	75	75	
GCF_019466645.1	ASM1946664v1	Gordonia phage Samman98	47548	79	79	
GCF_013375115.1	ASM1337511v2	Stenotrophomonas phage vB_SmaS-AXL_3	47545	65	65	
GCF_020494315.1	ASM2049431v1	Gordonia phage Dolores	47336	80	80	
GCF_009187485.1	ASM918748v1	Gordonia phage Suerte	47306	74	74	
GCF_018726445.1	ASM1872644v1	Salmonella phage LPSTLL	47243	80	80	
GCF_019089665.1	ASM1908966v1	Polaribacter phage Danklef_1	47186	77	76	
GCF_014337655.1	ASM1433765v1	Gordonia phage BigChungus	47166	69	69	
GCF_004006995.1	ASM400699v1	Gordonia phage Dorito	46784	75	75	
GCF_003183225.1	ASM318322v1	Gordonia phage Easley	46717	77	77	
GCF_019095485.1	ASM1909548v1	Gordonia phage Yeet412	46684	73	73	
GCF_003307695.1	ASM330769v1	Gordonia phage Ebert	46653	78	78	
GCF_004149685.1	ASM414968v1	Gordonia phage Vasanti	46463	71	71	
GCF_003423145.1	ASM342314v1	Pseudomonas phage YMC12/01/R24	46148	70	70	
GCF_002956275.1	ASM295627v1	Gordonia phage Bjanes7	46042	72	72	
GCF_006446555.1	ASM644655v1	Fowl aviadenovirus C	45810	49	49	
GCF_021864205.1	ASM2186420v1	Gordonia phage Pickett	45413	74	74	
GCF_011044445.1	ASM1104444v1	Vibrio phage Seahorse	45171	51	48	
GCF_020493295.1	ASM2049329v1	Gordonia phage Sahara	45072	72	72	
GCF_009187285.1	ASM918728v1	Gordonia phage Denise	45043	78	78	
GCF_015502015.1	ASM1550201v1	Burkholderia phage Magia	44942	70	70	
GCF_016455825.1	ASM1645582v1	Gordonia phage Lamberg	44730	71	71	
GCF_021216315.1	ASM2121631v1	Pantoea phage PdC23	44715	75	75	
GCF_009800705.1	ASM980070v2	Vibrio phage NF	44507	75	75	
GCF_021536495.1	ASM2153649v1	Arthrobacter phage Crewmate	44354	74	74	
GCF_021536485.1	ASM2153648v1	Arthrobacter phage Amyev	44284	68	68	
GCF_015044955.1	ASM1504495v1	Arthrobacter phage Phives	44204	69	69	
GCF_020492205.1	ASM2049220v1	Arthrobacter phage Kaylissa	44124	71	71	
GCF_016455785.1	ASM1645578v1	Arthrobacter phage Tbone	44111	69	69	
GCF_014824435.1	ASM1482443v1	Gordonia phage Matteo	44079	68	68	
GCF_019089715.1	ASM1908971v1	Polaribacter phage Freya_1	43978	66	66	
GCF_020497045.1	ASM2049704v1	Vibrio phage vB_VpaP_G1	43859	49	49	
GCF_021536515.1	ASM2153651v1	Arthrobacter phage Warda	43792	70	70	
GCF_014338075.1	ASM1433807v1	Arthrobacter phage Elezi	43471	68	68	
GCF_019089795.1	ASM1908979v1	Olleya phage Harreka_1	43175	79	79	
GCF_015044785.1	ASM1504478v1	Arthrobacter phage Adumb2043	43100	68	68	
GCF_021536505.1	ASM2153650v1	Arthrobacter phage Lizalica	43055	69	69	
GCF_003365975.1	ASM336597v1	Serratia phage Scapp	42969	59	59	
GCF_002620885.1	ASM262088v1	Staphylococcus virus IME1354_01	42706	64	64	
GCF_019089805.1	ASM1908980v1	Cellulophaga phage Ingeline_1	42624	50	50	
GCF_011067375.1	ASM1106737v1	Arthrobacter phage DrSierra	42622	66	66	
GCF_018987155.1	ASM1898715v1	Microbacterium phage vB_MoxS-R1	42563	79	77	1
GCF_022818385.1	ASM2281838v1	Pseudomonas phage UFJF_PfDIW6	42322	58	58	
GCF_020498035.1	ASM2049803v1	Haloarcula tailed virus 3	42293	88	88	
GCF_003866395.1	ASM386639v1	Streptococcus phage CHPC1042	42019	61	61	
GCF_020684895.1	ASM2068489v1	Arthrobacter phage KeAlii	41850	67	66	
GCF_021870435.1	ASM2187043v1	Arthrobacter phage Reedo	41823	68	68	
GCF_002613625.1	ASM261362v1	Ochrobactrum phage POA1180	41655	58	58	
GCF_027090495.1	ASM2709049v1	Methanophagales virus PBV300	41525	51	51	
GCF_011067645.1	ASM1106764v1	Ochrobactrum phage vB_OspP_OH	41227	65	65	
GCF_002957995.1	ASM295799v1	Streptococcus phage vB_SthS_VA460	41169	56	56	
GCF_014518065.1	ASM1451806v1	Arthrobacter phage Tweety19	40873	69	68	
GCF_021497855.1	ASM2149785v1	Aeromonas phage pAEv1818	40808	54	54	
GCF_021870425.1	ASM2187042v1	Arthrobacter phage BaileyBlu	40447	63	61	
GCF_003865915.1	ASM386591v1	Streptococcus phage CHPC640	40404	55	55	
GCF_006530495.1	ASM653049v1	Arthrobacter phage Kumotta	40317	75	75	
GCF_020495605.1	ASM2049560v1	Shewanella phage vB_SspM_M16-3	40166	63	62	1
GCF_016467555.1	ASM1646755v1	Vibrio phage vB_VpP_BT-1011	40065	70	70	
GCF_003866495.1	ASM386649v1	Streptococcus phage CHPC1062	40037	54	54	
GCF_003866055.1	ASM386605v1	Streptococcus phage CHPC877	39965	52	52	
GCF_003814495.1	ASM381449v1	Streptococcus phage VS-2018a	39878	54	54	
GCF_002625105.1	ASM262510v1	Streptococcus phage D4276	39707	54	54	
GCF_019090025.1	ASM1909002v1	Winogradskyella phage Peternella_1	39649	62	62	
GCF_006964945.1	ASM696494v1	Streptomyces phage Dubu	39535	47	47	
GCF_003364635.1	ASM336463v1	Arthrobacter phage MargaretKali	39448	72	72	
GCF_021864155.1	ASM2186415v1	Salmonella phage vB_STy-RN5i1	39433	47	47	
GCF_003866655.1	ASM386665v1	Streptococcus phage CHPC1230	39384	55	55	
GCF_003866615.1	ASM386661v1	Streptococcus phage CHPC1148	39069	50	50	
GCF_002616865.1	ASM261686v1	Streptococcus phage IPP65	39046	50	50	
GCF_002616685.1	ASM261668v1	Streptococcus phage IPP54	38900	55	55	
GCF_003866375.1	ASM386637v1	Streptococcus phage CHPC1041	38840	51	51	
GCF_006425375.1	ASM642537v1	Psittacine adenovirus 1	38694	55	55	
GCF_003865935.1	ASM386593v1	Streptococcus phage CHPC663	38531	52	52	
GCF_021864085.1	ASM2186408v1	Salmonella phage vB_SAg-RPN15	38505	47	47	
GCF_003866715.1	ASM386671v1	Streptococcus phage CHPC1248	38383	53	53	
GCF_003865995.1	ASM386599v1	Streptococcus phage CHPC873	38258	51	51	
GCF_002957985.1	ASM295798v1	Streptococcus phage vB_SthS_VA214	38253	53	53	
GCF_029887315.1	ASM2988731v1	Yangshan Harbor Nitrososphaeria virus	38245	68	68	
GCF_002621465.1	ASM262146v1	Streptococcus phage P4761	38139	55	55	
GCF_004006835.1	ASM400683v2	Alteromonas phage ZP6	38080	47	47	
GCF_004208775.1	ASM420877v1	Haloferax tailed virus 1	38059	68	68	
GCF_002616885.1	ASM261688v1	Streptococcus phage IPP66	37969	53	53	
GCF_002616565.1	ASM261656v1	Streptococcus phage IPP48	37848	52	52	
GCF_002616705.1	ASM261670v1	Streptococcus phage IPP55	37847	48	48	
GCF_002601925.1	ASM260192v1	Pseudomonas phage JBD26	37840	61	61	
GCF_011067385.1	ASM1106738v1	Arthrobacter phage Shoya	37783	67	67	
GCF_002616405.1	ASM261640v1	Streptococcus phage IPP39	37761	50	50	
GCF_003182725.1	ASM318272v1	Streptococcus phage D1024	37757	49	49	
GCF_003865735.1	ASM386573v1	Pseudomonas phage Spike	37729	59	59	
GCF_002621705.1	ASM262170v1	Streptococcus phage P7573	37715	49	48	1
GCF_002613605.1	ASM261360v1	Streptococcus phage SpGS-1	37631	53	53	
GCF_003866255.1	ASM386625v1	Streptococcus phage CHPC1005	37598	47	47	
GCF_002621865.1	ASM262186v1	Streptococcus phage P7952	37594	48	48	
GCF_016673705.1	ASM1667370v1	Pseudomonas phage AIIMS-Pa-B1	37578	56	56	
GCF_019089885.1	ASM1908988v1	Polaribacter phage Leef_1	37547	48	48	
GCF_900327825.1	vB_PaeS_PAO1_HW12	Pseudomonas phage vB_PaeS_PAO1_HW12	37496	61	61	
GCF_003069425.1	ASM306942v1	Pseudomonas phage F_ET309sp/Pa1651	37414	56	56	
GCF_021216345.1	ASM2121634v1	Aeromonas phage vB_AsaM_LPM4	37312	55	55	
GCF_003866115.1	ASM386611v1	Streptococcus phage CHPC927	37303	48	48	
GCF_003866075.1	ASM386607v1	Streptococcus phage CHPC919	37281	46	46	
GCF_002615945.1	ASM261594v1	Streptococcus phage IPP14	37252	49	49	
GCF_002621485.1	ASM262148v1	Streptococcus phage P5641	37235	52	52	
GCF_003925065.1	ASM392506v1	Streptococcus phage SW2	37222	47	47	
GCF_002621765.1	ASM262176v1	Streptococcus phage P7602	37202	51	51	
GCF_003925085.1	ASM392508v1	Streptococcus phage SW3	37181	45	45	
GCF_003571885.1	ASM357188v1	Methanobacterium virus Drs3	37129	39	39	
GCF_003865975.1	ASM386597v1	Streptococcus phage CHPC869	37080	50	50	
GCF_020497885.1	ASM2049788v1	Methanoculleus virus L4768	37078	63	63	
GCF_900095755.1	PfII40a	Pseudomonas phage vB_PaeS_PcyII-40_PfII40a	37033	52	52	
GCF_012552665.1	ASM1255266v1	Guinea pig adenovirus	37031	32	32	
GCF_003866595.1	ASM386659v1	Streptococcus phage CHPC1091	37028	46	46	
GCF_003423105.1	ASM342310v1	Pseudomonas phage YMC12/01/R960	37011	56	56	
GCF_003865895.1	ASM386589v1	Streptococcus phage CHPC572	37005	49	49	
GCF_002622045.1	ASM262204v1	Streptococcus phage P9854	36979	48	48	
GCF_002621925.1	ASM262192v1	Streptococcus phage P7955	36931	50	50	
GCF_003012625.1	ASM301262v1	Streptococcus phage L5A1	36884	44	44	
GCF_003866675.1	ASM386667v1	Streptococcus phage CHPC1246	36876	53	53	
GCF_029887305.1	ASM2988730v1	Yangshan Harbor Nitrososphaeria virus	36856	64	64	
GCF_003925725.1	ASM392572v1	Streptococcus phage SW5	36836	47	47	
GCF_003866855.1	ASM386685v1	Streptococcus phage CHPC1033	36827	46	46	
GCF_002616645.1	ASM261664v1	Streptococcus phage IPP52	36805	52	52	
GCF_003866795.1	ASM386679v1	Streptococcus phage CHPC952	36775	46	46	
GCF_003012595.1	ASM301259v1	Streptococcus phage B0	36773	47	47	
GCF_002607445.1	ASM260744v1	Streptococcus phage 73	36733	46	46	
GCF_029887295.1	ASM2988729v1	Yangshan Harbor Nitrososphaeria virus	36645	73	73	
GCF_020498645.1	ASM2049864v1	Halorubrum tailed virus 29	36603	71	71	
GCF_003925245.1	ASM392524v1	Streptococcus phage SW13	36587	41	41	
GCF_003866025.1	ASM386602v1	Streptococcus phage CHPC875	36576	49	49	
GCF_003866175.1	ASM386617v1	Streptococcus phage CHPC931	36490	49	49	
GCF_022604855.1	ASM2260485v1	Yersinia phage vB_YenM_42.18	36481	54	54	
GCF_003866215.1	ASM386621v1	Streptococcus phage CHPC951	36471	47	47	
GCF_020684905.1	ASM2068490v1	Arthrobacter phage Sarge	36407	66	66	
GCF_005574415.1	ASM557441v1	Shewanella phage X14	36396	40	40	
GCF_003866775.1	ASM386677v1	Streptococcus phage CHPC930	36350	46	46	
GCF_003866335.1	ASM386633v1	Streptococcus phage CHPC1036	36333	48	48	
GCF_002621725.1	ASM262172v1	Streptococcus phage P7574	36298	50	49	1
GCF_022213645.1	ASM2221364v1	Burkholderia phage PhiBP82.2	36280	54	54	
GCF_003925205.1	ASM392520v1	Streptococcus phage SW11	36250	42	42	
GCF_002621425.1	ASM262142v1	Streptococcus phage P3681	36168	46	45	1
GCF_002621785.1	ASM262178v1	Streptococcus phage P7631	36164	48	48	
GCF_023155295.1	ASM2315529v1	Veiled chameleon serpentovirus B	36144	8	8	
GCF_003866755.1	ASM386675v1	Streptococcus phage CHPC879	36011	45	45	
GCF_002621805.1	ASM262180v1	Streptococcus phage P7632	35988	48	47	1
GCF_002621405.1	ASM262140v1	Streptococcus phage P0095	35966	55	54	1
GCF_003012545.1	ASM301254v1	Streptococcus phage 7A5	35936	44	44	
GCF_003866295.1	ASM386629v1	Streptococcus phage CHPC1027	35928	46	46	
GCF_002621825.1	ASM262182v1	Streptococcus phage P7633	35921	47	47	
GCF_003866315.1	ASM386631v1	Streptococcus phage CHPC1029	35920	45	45	
GCF_003925745.1	ASM392574v1	Streptococcus phage SW7	35917	42	42	
GCF_003925265.1	ASM392526v1	Streptococcus phage SW14	35913	46	46	
GCF_029887285.1	ASM2988728v1	Yangshan Harbor Nitrososphaeria virus	35889	68	68	
GCF_002621545.1	ASM262154v1	Streptococcus phage P7132	35843	45	44	1
GCF_002621985.1	ASM262198v1	Streptococcus phage P9851	35835	48	48	
GCF_002621885.1	ASM262188v1	Streptococcus phage P7953	35786	43	43	
GCF_003865775.1	ASM386577v1	Streptococcus phage CHPC642	35715	49	49	
GCF_003866735.1	ASM386673v1	Streptococcus phage CHPC595	35697	46	46	
GCF_002621905.1	ASM262190v1	Streptococcus phage P7954	35688	46	46	
GCF_002621625.1	ASM262162v1	Streptococcus phage P7152	35663	46	46	
GCF_002621325.1	ASM262132v1	Streptococcus phage P0091	35653	44	44	
GCF_023131475.1	ASM2313147v1	Southern Psittacara leucophthalmus aviadenovirus	35595	25	25	
GCF_003866695.1	ASM386669v1	Streptococcus phage CHPC1247	35543	48	48	
GCF_002622085.1	ASM262208v1	Streptococcus phage P9902	35535	51	50	1
GCF_002621445.1	ASM262144v1	Streptococcus phage P3684	35444	45	44	1
GCF_003925585.1	ASM392558v1	Streptococcus phage SWK3	35443	41	41	
GCF_002621745.1	ASM262174v1	Streptococcus phage P7601	35395	51	51	
GCF_003925225.1	ASM392522v1	Streptococcus phage SW12	35382	43	43	
GCF_003866915.1	ASM386691v1	Streptococcus phage CHPC1152	35353	44	44	
GCF_003866195.1	ASM386619v1	Streptococcus phage CHPC950	35299	48	48	
GCF_003012665.1	ASM301266v1	Streptococcus phage STP1	35283	41	41	
GCF_018591195.1	ASM1859119v1	Bearded dragon adenovirus 1	35275	31	31	
GCF_020498635.1	ASM2049863v1	Halorubrum tailed virus 28	35270	71	71	
GCF_002622105.1	ASM262210v1	Streptococcus phage P9903	35256	50	50	
GCF_002622065.1	ASM262206v1	Streptococcus phage P9901	35211	47	47	
GCF_003925345.1	ASM392534v1	Streptococcus phage SW19	35153	46	46	
GCF_002615005.1	ASM261500v1	Streptococcus phage CHPC577	35129	50	50	
GCF_003925525.1	ASM392552v1	Streptococcus phage SW1151	35056	45	45	
GCF_002621605.1	ASM262160v1	Streptococcus phage P7151	35025	47	47	
GCF_003925645.1	ASM392564v1	Streptococcus phage SWK6	34999	38	38	
GCF_002621365.1	ASM262136v1	Streptococcus phage P0093	34932	51	51	
GCF_003866635.1	ASM386663v1	Streptococcus phage CHPC1156	34912	44	44	
GCF_002621665.1	ASM262166v1	Streptococcus phage P7571	34907	49	49	
GCF_003925325.1	ASM392532v1	Streptococcus phage SW18	34825	44	44	
GCF_003925045.1	ASM392504v1	Streptococcus phage SW1	34821	38	38	
GCF_003866415.1	ASM386641v1	Streptococcus phage CHPC1046	34790	46	46	
GCF_015644855.1	ASM1564485v1	Streptococcus phage CHPC1282	34785	45	45	
GCF_003866095.1	ASM386609v1	Streptococcus phage CHPC925	34759	45	45	
GCF_002607485.1	ASM260748v1	Streptococcus phage 128	34593	40	40	
GCF_002621345.1	ASM262134v1	Streptococcus phage P0092	34580	50	50	
GCF_003925105.1	ASM392510v1	Streptococcus phage SW4	34556	47	47	
GCF_002621645.1	ASM262164v1	Streptococcus phage P7154	34507	42	42	
GCF_002622025.1	ASM262202v1	Streptococcus phage P9853	34469	45	45	
GCF_003866515.1	ASM386651v1	Streptococcus phage CHPC1067	34355	43	43	
GCF_003012635.1	ASM301263v1	Streptococcus phage M19	34328	44	44	
GCF_002621505.1	ASM262150v1	Streptococcus phage P5651	34292	43	43	
GCF_003925285.1	ASM392528v1	Streptococcus phage SW15	34289	44	44	
GCF_003866815.1	ASM386681v1	Streptococcus phage CHPC979	34277	47	47	
GCF_003925025.1	ASM392502v1	Streptococcus phage SW6	34276	42	42	
GCF_002607465.1	ASM260746v1	Streptococcus phage 53	34239	41	41	
GCF_002621845.1	ASM262184v1	Streptococcus phage P7951	34123	47	47	
GCF_003866875.1	ASM386687v1	Streptococcus phage CHPC1045	34096	43	43	
GCF_002818095.1	ASM281809v1	Porcine adenovirus 3	34094	11	11	
GCF_003182745.1	ASM318274v1	Streptococcus phage D1811	34083	40	40	
GCF_003012645.1	ASM301264v1	Streptococcus phage MM25	34059	41	41	
GCF_003950135.1	ASM395013v1	Sulfolobales Beppu rod-shaped virus 1	34025	60	60	
GCF_003866135.1	ASM386613v1	Streptococcus phage CHPC928	34022	39	39	
GCF_002621585.1	ASM262158v1	Streptococcus phage P7134	34019	45	45	
GCF_003925465.1	ASM392546v1	Streptococcus phage SW27	33953	46	46	
GCF_003925145.1	ASM392514v1	Streptococcus phage SW8	33930	41	41	
GCF_003866895.1	ASM386689v1	Streptococcus phage CHPC1109	33791	42	42	
GCF_917043915.1	P2_SIAC10	Peduovirus P2	33562	43	43	
GCF_002615045.1	ASM261504v1	Streptococcus phage CHPC1151	33507	46	46	
GCF_927798185.1	Cartapus_bis	Escherichia phage Cartapus	33368	47	46	1
GCF_922089135.1	P2_AC1	Escherichia phage P2_AC1	33349	42	42	
GCF_002621565.1	ASM262156v1	Streptococcus phage P7133	33284	42	42	
GCF_022604865.1	ASM2260486v1	Yersinia phage vB_YenM_56.17	33247	55	55	
GCF_015644835.1	ASM1564483v1	Streptococcus phage CHPC1198	33245	47	47	
GCF_020473255.1	ASM2047325v1	Yersinia phage P37	33007	42	42	
GCF_022213605.1	ASM2221360v1	Yersinia phage vB_YenM_31.17	32949	44	44	
GCF_021355115.1	ASM2135511v1	Burkholderia phage FLC10	32867	43	43	
GCF_023123155.1	ASM2312315v1	Morelia viridis nidovirus	32753	7	7	
GCF_917046035.1	P2_DC1	Peduovirus P2	32541	42	42	
GCF_003925005.1	ASM392500v1	Streptococcus phage SW16	32106	45	45	
GCF_003925765.1	ASM392576v1	Streptococcus phage SW24	32092	42	42	
GCF_020475355.1	ASM2047535v1	Yersinia phage HQ103	31962	43	43	
GCF_009617825.1	Porcine mastadenovirus B (HNU1 strain), complete genome	Porcine mastadenovirus B	31743	31	31	
GCF_003925385.1	ASM392538v1	Streptococcus phage SW22	31738	45	45	
GCF_023155325.1	ASM2315532v1	Veiled chameleon serpentovirus A	31537	10	10	
GCF_917046065.1	P2_SIDE7	Peduovirus P2	31490	40	40	
GCF_006415515.1	ASM641551v1	Bat mastadenovirus	31218	30	30	
GCF_014518235.1	ASM1451823v1	Methanocaldococcus fervens tailed virus 1	31202	43	43	
GCF_022604805.1	ASM2260480v1	Yersinia phage vB_YenM_201.16	30280	52	52	
GCF_006425395.1	ASM642539v1	Eidolon helvum adenovirus	30134	30	30	
GCF_023131535.1	ASM2313153v1	Serpentovirinae sp.	30104	8	8	
GCF_002615025.1	ASM261502v1	Streptococcus phage CHPC926	30077	44	44	
GCF_022604795.1	ASM2260479v1	Yersinia phage vB_YenM_06.16-2	29546	44	44	
GCF_020484605.1	ASM2048460v1	Salmonella phage BIS20	29512	39	39	
GCF_022343375.1	ASM2234337v1	Yersinia phage vB_YenM_324	29180	39	39	
GCF_023155205.1	MrGV	Macrobrachium rosenbergii Golda virus	29110	4	4	
GCF_023148835.1	ASM2314883v1	Bat alphacoronavirus	29097	6	6	
GCF_006965625.1	ASM696562v1	Nitrosopumilus spindle-shaped virus	28967	52	52	
GCF_025790145.1	ASM2579014v1	Salmonella phage STYP1	28946	39	39	
GCF_023156145.1	ASM2315614v1	Bangali torovirus	28850	5	5	
GCF_023124385.1	ASM2312438v1	Alphacoronavirus sp.	28170	6	6	
GCF_023141795.1	ASM2314179v1	Hipposideros pomona bat coronavirus CHB25	28169	8	8	
GCF_023122875.1	ASM2312287v1	Bat alphacoronavirus	28045	6	6	
GCF_023124405.1	ASM2312440v1	Alphacoronavirus sp.	28009	6	6	
GCF_023124615.1	ASM2312461v1	Tylonycteris bat coronavirus HKU33	27636	7	7	
GCF_006965605.1	ASM696560v1	Nitrosopumilus spindle-shaped virus	27570	48	48	
GCF_023124395.1	ASM2312439v1	Alphacoronavirus sp.	27435	6	6	
GCF_023131505.1	ASM2313150v1	Serpentovirinae sp.	27281	8	8	
GCF_023131485.1	ASM2313148v1	Serpentovirinae sp.	27270	7	7	
GCF_018584825.1	ASM1858482v1	psittacine adenovirus 7	27209	24	24	
GCF_018586905.1	ASM1858690v1	Psittacine adenovirus 5	27163	21	21	
GCF_001744995.2	ViralProj344108	Bacillus phage Claudi	26502	46	46	
GCF_012979475.1	ASM1297947v1	Saccharolobus solfataricus rod-shaped virus 1	26097	37	37	
GCF_001743675.2	ViralProj344109	Bacillus phage Aurora	25905	40	40	
GCF_029887335.1	ASM2988733v1	Methanophagales virus GBV303	25580	47	47	
GCF_012979455.1	ASM1297945v1	Acidianus rod-shaped virus 3	23666	33	33	
GCF_004789015.1	ASM478901v1	Wenzhou pacific spadenose shark paramyxovirus	21523	10	10	
GCF_029870255.1	ASM2987025v1	Lokiarchaeia virus VerdaV4	20488	44	44	
GCF_023156175.1	ASM2315617v1	Ruloma virus	20454	8	8	
GCF_023147635.1	ASM2314763v1	Aphis citricidus meson-like virus	20336	5	5	
GCF_012979465.1	ASM1297946v1	Metallosphaera rod-shaped virus 1	20269	27	27	
GCF_029870225.1	ASM2987022v1	Lokiarchaeia virus VerdaV1	19940	45	45	
GCF_029870235.1	ASM2987023v1	Thorarchaeia virus VerdaV2	19541	33	33	
GCF_023120395.1	ASM2312039v1	Rodent paramyxovirus	19509	8	8	
GCF_023141995.1	ASM2314199v1	Frankliniella occidentalis associated mesonivirus 1	19113	4	4	
GCF_023141965.1	ASM2314196v1	Insect mesonivirus 1	18939	4	4	
GCF_014518255.1	Natrinema versiforme BOL5-4	Natrinema versiforme icosahedral virus 1	18925	27	26	
GCF_011752445.1	ASM1175244v1	Thermoproteus spherical piliferous virus 1	18655	31	31	
GCF_016673615.2	ASM1667361v1	Bacillus phage WhyPhy	18642	28	28	
GCF_022818275.1	ASM2281827v1	Clostridium phage LPCPA6	18554	26	26	
GCF_023124465.1	ASM2312446v1	Rhizoctonia solani hypovirus 1	18371	1	1	
GCF_020474865.1	ASM2047486v1	Staphylococcus phage SeAlphi	18292	20	20	
GCF_020497735.1	ASM2049773v1	Staphylococcus phage BESEP3	18271	20	20	
GCF_012979495.1	ASM1297949v1	Pyrobaculum spherical virus 2	18212	32	32	
GCF_023122825.1	ASM2312282v1	Bat paramyxovirus	18081	9	9	
GCF_020496995.1	ASM2049699v1	Enterococcus phage MDA1	18058	25	25	
GCF_023122835.1	ASM2312283v1	Bat paramyxovirus	17826	9	9	
GCF_023122955.1	ASM2312295v1	Trionyx sinensis hemorrhagic syndrome virus	17738	8	8	
GCF_023141865.1	ASM2314186v1	Botrytis cinerea hypovirus 4	17631	3	3	
GCF_012979485.1	ASM1297948v1	Pyrobaculum filamentous virus 2	17602	39	39	
GCF_014518245.1	Haloterrigena jeotgali strain A29 plasmid unnamed5	Haloterrigena jeotgali icosahedral virus 1	17189	31	30	
GCF_024703225.1	ASM2470322v1	Saline Natrinema sp. J7-1 virus 2	16992	25	25	
GCF_019095865.1	ASM1909586v1	Staphylococcus phage JPL-50	16927	29	29	
GCF_018586885.1	ASM1858688v1	Avian metaavulavirus 21	16914	6	6	
GCF_004800285.1	ASM480028v1	Gordonia phage EricDab	16658	24	24	
GCF_003307715.1	ASM330771v1	Gordonia phage Emperor	16604	24	24	
GCF_004789035.1	ASM478903v1	Wenling triplecross lizardfish paramyxovirus	16560	7	7	
GCF_002829825.2	ASM282982v1	Saline Natrinema sp. J7-1 virus 1	16492	31	31	
GCF_018583995.1	ASM1858399v1	Salmon aquaparamyxovirus	16302	8	8	
GCF_006530135.1	ASM653013v1	Gordonia phage Coeur	16223	26	26	
GCF_017356055.1	HH2	Haloarcula virus Hardyhisp2	16133	33	33	
GCF_023122885.1	ASM2312288v1	Sclerotium rolfsii hypovirus 1	16113	1	1	
GCF_023119555.1	ASM2311955v1	Tapajos virus	16009	7	7	
